Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website
Temporary Site -  Social Club Shelter,ESPERANZA HEALTH CENTERS,320 S Plymouth Ct,Chicago,IL,60604-3802,773-828-8270,
Temporary Site - Parthenon Shelter,ESPERANZA HEALTH CENTERS,310 S Halsted St,Chicago,IL,60661-5406,773-828-0270,
Denny Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,150 E Huron St,Chicago,IL,60611-2999,312-337-1073,http://www.nearnorthhealth.org
Haymarket Center,MC DERMOTT CENTER INC,124 N Sangamon St,Chicago,IL,60607-2202,312-226-7984,http://www.hcenter.org/
Haymarket Center,MC DERMOTT CENTER INC,120 N Sangamon St,Chicago,IL,60607-2202,312-226-7984,http://www.hcenter.org/
Haymarket Center,MC DERMOTT CENTER INC,108 N. Sangamon St.  FL 3-6,Chicago,IL,60607-2202,312-226-7984,http://www.hcenter.org/
LCHC at Pacific Garden Mission,LAWNDALE CHRISTIAN HEALTH CENTER,"1458 S Canal St  FL 1, EX #2",Chicago,IL,60607-5201,872-588-3000,
Winfield Moody Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,1276 N Clybourn Ave,Chicago,IL,60610-2089,312-337-1073,http://www.nearnorthhealth.org
Erie West Town Health Center,ERIE FAMILY HEALTH CENTER,1701 W Superior St,Chicago,IL,60622-5646,312-666-3494,http://www.eriefamilyhealth.org
"UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER, NATIONAL TEACHERS ACADEMY HEALTH AND WELLNESS CENTER",University of Illinois,55 W CERMAK RD,CHICAGO,IL,60616-2001,312-413-3880,
AMC Mobile Unit,"ALIVIO MEDICAL CENTER, INC",966 W 21st St,Chicago,IL,60608-4511,773-254-1400,http://www.aliviomedicalcenter.org
ALIVIO MEDICAL CENTER,"ALIVIO MEDICAL CENTER, INC",966 W   21st St,Chicago,IL,60608-4511,773-254-1400,
University of Illinois Mile Square Health Center - IMD,University of Illinois,1220 S. Wood Street,Chicago,IL,60608,312-996-2000,
ACCESS Pilsen Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,1817 S Loomis St,Chicago,IL,60608-3018,312-666-6511,http://www.accesscommunityhealth.net
Benito Juarez Community Academy,"ALIVIO MEDICAL CENTER, INC",1450 W Cermak Rd,Chicago,IL,60608-4408,773-254-1400,
Mile Square  Dr. Cynthia Barnes Boyd/Drake Health and Wellness Center,University of Illinois,2710 S. Dearborn,Chicago,IL,60616,312-355-5745,http://oceanhp/uic/edu
Temporary Site - Young Women's Leadership Academy,LAWNDALE CHRISTIAN HEALTH CENTER,2641 S Calumet Ave,Chicago,IL,60616-2901,872-588-3015,
Howard Brown Health  At The Night Ministry,HOWARD BROWN HEALTH CENTER,1735 N Ashland Ave,Chicago,IL,60622-1435,773-388-1600,
ACCESS Warren Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,2409 W. WARREN BLVD,CHICAGO,IL,60612-2115,312-733-4475,http://www.accesscommunityhealth.net
Jose Clemente Orozco Academy,"ALIVIO MEDICAL CENTER, INC",1940 W 18th St,Chicago,IL,60608-1903,773-254-1400,
PrimeCare Wicker Park,PRIMECARE COMMUNITY HEALTH INC,1127 N Oakley Blvd,Chicago,IL,60622-3507,312-770-2040,
Erie Clemente Wildcats Student Health Center,ERIE FAMILY HEALTH CENTER,1147 N Western Ave,Chicago,IL,60622-2931,773-394-8821,http://www.eriefamilyhealth.org
Erie Division Street Health Center,ERIE FAMILY HEALTH CENTER,2418 W Division St,Chicago,IL,60622-2940,312-432-7394,http://www.eriefamilyhealth.org
PCC West Town Family Health Center,PCC COMMUNITY WELLNESS CENTER,2434 W Division St,Chicago,IL,60622-2942,773-584-4178,
LCHC at Franciscan Harrison,LAWNDALE CHRISTIAN HEALTH CENTER,2715 W Harrison St,Chicago,IL,60612-3422,872-588-3000,
Michael Michelini Center for Health,PRIMECARE COMMUNITY HEALTH INC,1431 N Western Ave Ste 209,Chicago,IL,60622-7712,312-491-5435,
PRIMECARE WEST TOWN,PRIMECARE COMMUNITY HEALTH INC,1431 N Western Ave STE 406,Chicago,IL,60622-1774,312-633-5841,
PrimeCare West Town Dental,PRIMECARE COMMUNITY HEALTH INC,1431 N Western Ave Ste 401,Chicago,IL,60622-7712,312-491-5250,http://www.primecarechi.org
PrimeCare Young Family Health Center,PRIMECARE COMMUNITY HEALTH INC,1431 N. Western Avenue  STE 202,Chicago,IL,60622-7712,773-276-2272,http://www.primecarechi.org
Aunt Martha's Humboldt Park Community Health Center,AUNT MARTHA'S HEALTH & WELLNESS INC,2641 W. Division St.  STE SF,Chicago,IL,60622,877-692-8686,
ACCESS at Sinai,ACCESS COMMUNITY HEALTH NETWORK,"2653 W Ogden Ave, 3rd Floor",Chicago,IL,60608-1647,773-257-6730,http://www.accesscommunityhealth.net
LCHC at Walls Memorial,LAWNDALE CHRISTIAN HEALTH CENTER,200 S Sacramento Blvd,Chicago,IL,60612-2716,872-588-3000,
ALIVIO MEDICAL CENTER,"ALIVIO MEDICAL CENTER, INC",2355 S. WESTERN AVE,CHICAGO,IL,60608-3837,773-254-1400,
ACCESS Plaza Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,2533 W Cermak Rd,Chicago,IL,60608-3719,773-523-0900,http://www.accesscommunityhealth.net
Aunt Martha's Community Health Center in Humboldt Park,AUNT MARTHA'S HEALTH & WELLNESS INC,1044 N Francisco Ave Ste 101,Chicago,IL,60622-2743,877-692-8686,
Erie Humboldt Park Health Center,ERIE FAMILY HEALTH CENTER,2750 W North Ave,Chicago,IL,60647-5247,312-666-3493,http://www.eriefamilyhealth.org
Esperanza California,ESPERANZA HEALTH CENTERS,2001 S California Ave STE 100,Chicago,IL,60608-2486,773-584-6200,http://www.esperanzachicago.org
"Esperanza California, Suite 101",ESPERANZA HEALTH CENTERS,2001 S. California Ave. STE 101,Chicago,IL,60608-2405,773-584-6200,http://www.esperanzachicago.org
LCHC at Garfield Park FamilyPlex,LAWNDALE CHRISTIAN HEALTH CENTER,3219 W Carroll Ave Fl 1,Chicago,IL,60624-2031,872-588-3000,http://www.lawndale.org
Esperanza at Charles G. Hammond Elementary School,ESPERANZA HEALTH CENTERS,2819 W 21st Pl Rm 300,Chicago,IL,60623-3503,773-584-6200,
Louise Landau Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,800 N Kedzie Ave,Chicago,IL,60651-4100,773-826-3450,
Erie Johnson School-Based Health Center,ERIE FAMILY HEALTH CENTER,1504 S. Albany Ave.,Chicago,IL,60623-2209,312-666-3494,http://www.eriefamilyhealth.org
